Promotion_Opportunities_V24,Job_Interest_V25,No_Work_Life_Balance_V38,Management_Relation_V42,Workplace_Relation_V43,PCA1,PCA2,Job_Satisfaction_V44
3,2,4,3,3,1.1303380332632378,-0.0714074072897198,3
3,3,3,5,1,1.6206190455272933,-0.3672122213232709,5
3,1,4,1,2,-1.149749920963411,0.36780205197378774,1
5,3,3,3,3,2.7047537233875096,0.30662591018223967,4
2,2,4,2,2,-0.48092831122306573,0.07718748938720835,3
3,2,2,2,2,0.16557726755870242,-1.079882195323932,3
3,2,4,2,1,-0.6640425179143595,0.7865659978087087,2
2,1,2,2,2,-0.8621974744204572,-1.835565206911608,2
3,2,5,2,1,-0.7639071485510156,1.5659859884041323,2
3,1,5,1,1,-1.8795050757998168,1.4548302545110046,2
4,1,5,1,1,-1.432728758291361,1.8566005509907115,2
4,1,2,4,2,1.1005541661526497,-1.5175385763818778,4
3,2,4,1,1,-1.198642020692457,1.0293229790235505,2
2,1,2,2,2,-0.8621974744204572,-1.835565206911608,3
3,2,4,2,1,-0.6640425179143595,0.7865659978087087,3
4,2,3,2,1,-0.11740156976924752,0.4089163036929919,3
4,2,5,3,4,2.1071402443347873,0.8021746678436172,7
2,1,3,1,1,-2.126552132034961,-0.5057800231595494,2
2,2,4,1,1,-1.6454183382009129,0.6275526825438434,2
4,4,2,4,4,4.103330487964261,-1.0710168549415564,6
3,2,4,5,4,2.8294275630191827,-0.8645295816611968,3
2,1,3,2,2,-0.9620621050571134,-1.0561452163161844,2
3,3,2,2,1,0.11668516782965661,-0.4183612682741691,3
5,3,5,1,1,0.1760444081585027,2.966196277686357,4
4,2,3,3,3,1.6769789814083498,-0.44905710140543653,3
5,3,3,3,2,2.0748631991877597,0.6142341221240329,3
5,3,2,2,2,1.6401283270463185,0.07757111274345121,4
2,2,4,2,1,-1.1108188354228155,0.38479570132900176,2
3,2,3,2,2,0.06571263692204636,-0.3004622047285084,3
3,3,2,4,2,1.8157746975856015,-1.211483442645646,4
3,2,4,1,1,-1.198642020692457,1.0293229790235505,2
3,2,3,3,3,1.2302026638998937,-0.8508273978851435,2
2,2,2,2,1,-0.9110895741495034,-1.1740442798618453,2
3,2,3,2,2,0.06571263692204636,-0.3004622047285084,3
3,2,4,2,2,-0.03415199371460974,0.4789577858669154,3
4,1,3,2,2,-0.06850947004020153,-0.25260462335677075,3
3,2,3,3,1,-0.029578384499605922,-0.23561097400155678,5
4,2,4,3,3,1.5771143507716936,0.3303628891899871,3
3,3,4,3,1,0.451555409334442,0.8977217317018363,2
