Promotion_Opportunities_V24,Job_Interest_V25,No_Work_Life_Balance_V38,Management_Relation_V42,Workplace_Relation_V43,PCA1,PCA2,PCA3,PCA4,Job_Satisfaction_V44
4,1,4,2,1,-0.5778620149392847,0.5677761704295046,-0.19668842656440122,-1.3886106143478425,2
2,1,5,1,2,-1.3623691351488154,0.5871610979578639,1.5817104143263607,-0.09505045020463423,1
4,3,4,2,2,1.2418803609846238,1.171407592225082,-0.321317184174981,0.4107595170724707,3
3,2,2,2,2,0.45623144541901706,-1.0767607973520823,-0.697896429858164,0.3075282860187751,3
3,1,3,1,3,-0.08085621635363074,-0.8152951395823882,0.5332613148192179,-0.47959871341536764,1
3,2,4,2,1,-0.43503640202835614,0.678067553698791,-0.10469874366618519,0.09506255594514632,2
3,1,5,2,2,-0.28333949890113996,0.6102748747979632,1.458003884681726,-0.8587518199957042,2
4,1,4,2,2,0.1757389924671438,0.24608059866526671,0.40520627665891473,-1.3625588369447823,2
5,2,5,1,2,0.3414367631533593,2.1069409352696353,-0.14730555603607884,-0.9994332530490945,3
3,2,5,3,1,0.1849147428510354,1.0653756066715867,0.8243923347119911,-0.1648317968968457,3
5,3,5,2,3,2.3168930197183917,1.918650523614783,0.42287230044081847,-0.25340967514411555,3
4,2,3,3,3,2.2200286690526485,-0.6587762026329032,0.3778379384281647,-0.523328282704519,2
2,1,4,2,2,-0.6047511502284791,-0.45866362835597596,1.3157091032892425,-0.1685308503760577,3
2,2,3,1,2,-0.6916316108491306,-0.38330818454886395,0.023356294494118038,0.9780226794745607,3
4,1,2,2,3,1.067006839914517,-1.5087477523856068,-0.1879914095330641,-1.1500931068711535,3
4,1,3,2,2,0.24457241248761613,-0.47048579097805104,-0.19233991804873266,-1.269351860609498,2
1,1,5,1,1,-2.5062152139030553,0.5564845562114805,1.4350671244182087,0.4759117656766678,2
3,1,2,2,2,-0.07683923883972305,-1.5394242941319902,-0.33463469944121615,-0.5791308909898513,2
4,3,2,3,2,2.0683317659254326,-0.5909835237320754,-1.1848646899197466,0.4304860932363315,3
2,2,5,1,1,-1.582899458296504,1.3715201665020096,0.6165539806860968,0.765556949400932,1
5,4,4,2,2,2.1651961165911753,1.986443202515611,-1.1398303279070925,0.7004047007967349,4
2,2,5,1,1,-1.582899458296504,1.3715201665020096,0.6165539806860968,0.765556949400932,1
4,1,2,1,1,-1.128979739798204,-0.536098272186609,-1.723325699650225,-1.035509285170566,1
3,1,4,3,3,1.2278794934256245,-0.7572454232801143,1.7938972768679238,-0.9061804427640674,2
2,1,4,2,1,-1.3583521576349078,-0.13696805659173805,0.7138144000659264,-0.19458262777911786,2
3,3,1,2,2,1.0581355496982294,-1.3306636902154925,-1.658704354982759,1.2873944393626855,5
3,2,3,2,1,-0.3662029820078838,-0.03849883594452679,-0.7022449383738326,0.1882695322804306,3
1,1,1,1,1,-2.230881533821166,-2.3097810023617904,-0.955117654412381,0.848739671017805,1
4,1,4,2,1,-0.5778620149392847,0.5677761704295046,-0.19668842656440122,-1.3886106143478425,2
3,2,4,2,2,0.31856460537807235,0.35637198193455305,0.49719595955713075,0.12111433334820648,3
3,2,3,2,2,0.3873980253985447,-0.3601944077087647,-0.10035023515051662,0.21432130968349078,3
3,3,3,2,2,0.9204687096572848,0.10246908907114305,-0.4636119655674644,1.100980486692117,4
4,1,5,3,1,0.042089129940106745,0.9550842234023003,0.7324026518137753,-1.6485049671898344,3
3,2,5,2,1,-0.5038698220488285,1.3946339433421087,0.49284745104146216,0.001855579609862033,2
4,2,4,1,2,0.020025111826020018,1.0380024321156964,-0.2896003374285623,-0.30921228342944795,2
5,5,5,5,5,6.95659009774832,1.212811363634557,1.894772897065142,1.0719501041591342,7
2,2,3,3,1,-0.06766348845583145,-0.72012928612567,0.08455135861186049,0.6185961490580851,3
3,2,5,2,2,0.24973118535760008,1.0729383715778706,1.0947421542647782,0.027907357012922192,2
2,2,1,2,1,-0.6187812133147507,-1.8240037287417834,-1.4420859144739633,0.9716974782353615,2
3,2,4,2,1,-0.43503640202835614,0.678067553698791,-0.10469874366618519,0.09506255594514632,3
3,2,3,3,2,1.0761825902984086,-0.6894527443792865,0.2311946485200125,0.04763393317678302,3
2,1,5,1,1,-2.115970142555244,0.9088566697221017,0.9798157111030447,-0.1211022276076944,2
2,2,3,2,2,-0.0028470459492667376,-0.7125665212193858,0.3549011781646472,0.811335302967853,2
3,2,2,1,1,-0.9861541268872753,-0.42580688891732255,-1.631336016752009,0.44816388512242267,3
3,3,4,2,2,0.8516352896368125,0.8190354787144608,0.1339342291401829,1.0077735103568328,3
3,2,4,2,2,0.31856460537807235,0.35637198193455305,0.49719595955713075,0.12111433334820648,2
4,4,4,2,2,1.774951045243364,1.6340710890049894,-0.6845789145919288,1.2974186940810968,3
4,2,4,1,1,-0.7335758955804085,1.3596980038799344,-0.8914950406518782,-0.3352640608325081,3
2,1,2,2,2,-0.4670843101875345,-1.8917964076426115,0.12061671387394766,0.017883102294510875,3
4,3,5,1,1,-0.2693386313421407,2.5389278903031594,-0.6572105763611787,0.458188139840834,2
5,5,5,5,5,6.95659009774832,1.212811363634557,1.894772897065142,1.0719501041591342,5
3,2,3,1,1,-1.0549875469077477,0.29075950072599516,-1.0337898220443618,0.35495690878713837,2
3,2,4,1,1,-1.12382096692822,1.007325890369313,-0.43624362733671435,0.2617499324518541,2
3,3,4,2,2,0.8516352896368125,0.8190354787144608,0.1339342291401829,1.0077735103568328,3
3,1,2,2,2,-0.07683923883972305,-1.5394242941319902,-0.33463469944121615,-0.5791308909898513,3
1,1,5,2,2,-1.063829641596763,-0.09446935222327935,2.3685067113120537,0.33527616657302023,2
3,1,5,1,1,-1.7257250712074326,1.2612287832327231,0.5245642977878807,-0.7181162208920565,1
4,1,3,1,1,-1.1978131598186763,0.18046811745670885,-1.1257795049425778,-1.1287162615058504,3
2,1,5,2,1,-1.42718557765538,0.5795983330515797,1.311360594773574,-0.28778960411440213,2
4,2,3,2,3,1.5312441041527847,-0.32951786596238125,0.04629305475763552,-0.35664090619781125,2
2,2,4,1,1,-1.5140660382760316,0.6549537768586917,0.019007785978449397,0.8587639257362163,1
2,1,4,1,1,-2.0471367225347716,0.19229028007878393,0.38226951639539725,-0.0278952512724101,2
3,1,3,1,2,-0.8344572237600593,-0.4935995678181504,-0.06863338840409801,-0.5056504908184278,5
3,2,3,2,2,0.3873980253985447,-0.3601944077087647,-0.10035023515051662,0.21432130968349078,3
3,2,4,2,2,0.31856460537807235,0.35637198193455305,0.49719595955713075,0.12111433334820648,2
3,2,5,1,2,-0.43905337954226376,1.4021967082483928,0.7631972705942488,0.19459473351962997,2
1,1,2,2,1,-1.6109303889417745,-1.9224729493889947,-0.02602657603420442,0.588845318175813,3
3,1,3,1,1,-1.588058231166488,-0.1719039960539125,-0.670528091627414,-0.5317022682214879,1
3,2,4,2,1,-0.43503640202835614,0.678067553698791,-0.10469874366618519,0.09506255594514632,2
2,2,4,2,2,-0.0716804659697391,0.003999868423931804,0.9524473728722945,0.7181283266325686,3
2,2,3,1,2,-0.6916316108491306,-0.38330818454886395,0.023356294494118038,0.9780226794745607,3
