Promotion_Opportunities_V24,Job_Interest_V25,No_Work_Life_Balance_V38,Management_Relation_V42,Workplace_Relation_V43,PCA1,PCA2,Job_Satisfaction_V44
4,2,3,2,3,1.5312441041527847,-0.32951786596238125,2
2,2,4,1,1,-1.5140660382760316,0.6549537768586917,1
2,1,4,1,1,-2.0471367225347716,0.19229028007878393,2
3,1,3,1,2,-0.8344572237600593,-0.4935995678181504,5
3,2,3,2,2,0.3873980253985447,-0.3601944077087647,3
3,2,4,2,2,0.31856460537807235,0.35637198193455305,2
3,2,5,1,2,-0.43905337954226376,1.4021967082483928,2
1,1,2,2,1,-1.6109303889417745,-1.9224729493889947,3
3,1,3,1,1,-1.588058231166488,-0.1719039960539125,1
3,2,4,2,1,-0.43503640202835614,0.678067553698791,2
2,2,4,2,2,-0.0716804659697391,0.003999868423931804,3
2,2,3,1,2,-0.6916316108491306,-0.38330818454886395,3
2,2,2,2,2,0.06598637407120558,-1.4291329108627038,5
4,1,5,2,2,0.10690557244667147,0.9626469883085843,3
5,4,5,2,1,1.3427616891642744,3.024705163923166,4
4,1,3,2,2,0.24457241248761613,-0.47048579097805104,2
2,1,3,2,2,-0.5359177302080068,-1.1752300179992938,2
2,1,4,2,2,-0.6047511502284791,-0.45866362835597596,2
1,1,3,1,1,-2.3685483738621107,-0.8766482230751548,2
3,4,5,1,2,0.6270879889752163,2.327523701808208,1
3,3,3,2,2,0.9204687096572848,0.10246908907114305,2
2,2,4,2,4,1.4355215488431177,-0.6393912751045439,3
3,2,4,2,2,0.31856460537807235,0.35637198193455305,3
2,2,3,2,2,-0.0028470459492667376,-0.7125665212193858,3
2,2,4,2,2,-0.0716804659697391,0.003999868423931804,2
2,2,4,1,1,-1.5140660382760316,0.6549537768586917,2
5,2,3,1,1,-0.2744974042121247,0.9955037277472377,2
2,2,5,3,3,1.3018716863160809,0.06961234963248973,2
2,2,3,3,2,0.6859375189505971,-1.0418248578899079,4
2,2,3,2,2,-0.0028470459492667376,-0.7125665212193858,3
3,2,3,2,2,0.3873980253985447,-0.3601944077087647,3
4,2,4,2,2,0.7088096767258839,0.7087440954451745,2
4,2,1,2,2,0.9153099367873009,-1.440955073484779,3
1,1,2,2,1,-1.6109303889417745,-1.9224729493889947,3
4,2,5,2,1,-0.11362475070101699,1.74700605685273,2
4,2,3,1,1,-0.6647424755599362,0.6431316142366166,2
4,2,5,2,3,1.39357726411184,1.103614913324254,3
4,1,5,2,2,0.10690557244667147,0.9626469883085843,3
4,1,3,2,2,0.24457241248761613,-0.47048579097805104,2
2,2,5,2,1,-0.8941148933966399,1.0422618298314874,2
2,1,3,1,1,-1.9783033025142993,-0.5242761095645339,1
5,2,3,3,2,1.8566727329940313,0.015291482641955867,3
1,1,4,1,1,-2.437381793882583,-0.16008183343183724,2
2,2,3,2,2,-0.0028470459492667376,-0.7125665212193858,2
2,1,3,2,2,-0.5359177302080068,-1.1752300179992938,2
2,2,3,2,2,-0.0028470459492667376,-0.7125665212193858,5
1,1,4,1,1,-2.437381793882583,-0.16008183343183724,1
4,2,3,2,1,0.024042089339927717,0.3138732775660945,3
2,2,3,2,2,-0.0028470459492667376,-0.7125665212193858,3
4,3,4,3,1,1.1770639184780591,1.163844827318798,4
4,2,2,1,1,-0.5959090555394638,-0.07343477540670128,3
5,3,4,1,3,1.696941874839,1.5313424706419876,3
2,1,4,1,1,-2.0471367225347716,0.19229028007878393,2
1,1,3,1,1,-2.3685483738621107,-0.8766482230751548,2
2,2,4,1,1,-1.5140660382760316,0.6549537768586917,3
3,2,3,3,3,1.8297835977048371,-1.0111483161435244,2
3,1,2,1,3,-0.012022796333158415,-1.5318615292257058,3
2,1,4,1,1,-2.0471367225347716,0.19229028007878393,3
3,3,3,2,2,0.9204687096572848,0.10246908907114305,3
4,3,2,2,2,1.3795472010255685,-0.2617251870615535,3
1,1,2,1,1,-2.2997149538416384,-1.5932146127184725,2
3,3,3,1,1,-0.5219168626490076,0.7534229975059029,5
4,2,4,2,2,0.7088096767258839,0.7087440954451745,3
2,2,5,2,2,-0.14051388599021142,0.7205662580672496,2
1,2,3,2,1,-1.1466931247035068,-0.7432430629657693,3
2,1,3,2,2,-0.5359177302080068,-1.1752300179992938,3
2,1,3,1,1,-1.9783033025142993,-0.5242761095645339,2
4,2,3,2,2,0.7776430967463562,-0.007822294198143334,3
4,2,3,1,1,-0.6647424755599362,0.6431316142366166,2
4,2,3,2,1,0.024042089339927717,0.3138732775660945,3
4,2,5,3,3,2.082361829011704,0.7743565766537321,2
3,1,1,2,1,-0.7616068262256792,-1.9342951120110696,1
2,2,3,2,1,-0.7564480533556952,-0.390870949455148,3
2,1,2,2,1,-1.2206853175939631,-1.5701008358783735,1
